EQUIPO,J,G,E,P,GF,GC,DIF,PTS,CREATED_AT
1BARBarcelona,27,19,3,5,75,27,48,60,2025-03-25 21:01:09
2MADReal Madrid,28,18,6,4,59,27,32,60,2025-03-25 21:01:09
3ATLAtlético Madrid,28,16,8,4,46,22,24,56,2025-03-25 21:01:09
4ATHAthletic Club,28,14,10,4,46,24,22,52,2025-03-25 21:01:09
5VLRVillarreal,27,12,8,7,49,38,11,44,2025-03-25 21:01:09
6BETReal Betis,28,12,8,8,38,35,3,44,2025-03-25 21:01:09
7MLAMallorca,28,11,7,10,28,34,-6,40,2025-03-25 21:01:09
8VIGCelta Vigo,28,11,6,11,41,41,0,39,2025-03-25 21:01:09
9RAYRayo Vallecano,28,9,10,9,31,31,0,37,2025-03-25 21:01:09
10SEVSevilla FC,28,9,9,10,32,37,-5,36,2025-03-25 21:01:09
11GETGetafe,28,9,9,10,25,23,2,36,2025-03-25 21:01:09
12SOCReal Sociedad,28,10,5,13,25,30,-5,35,2025-03-25 21:01:09
13GIRGirona,28,9,7,12,36,41,-5,34,2025-03-25 21:01:09
14OSAOsasuna,27,7,12,8,33,39,-6,33,2025-03-25 21:01:09
15ESPEspanyol,27,7,7,13,26,39,-13,28,2025-03-25 21:01:09
16VALValencia,28,6,10,12,31,46,-15,28,2025-03-25 21:01:09
17ALAAlavés,28,6,9,13,32,42,-10,27,2025-03-25 21:01:09
18LeganésLeganés,28,6,9,13,26,43,-17,27,2025-03-25 21:01:09
19PALLas Palmas,28,6,7,15,32,47,-15,25,2025-03-25 21:01:09
20VLDReal Valladolid,28,4,4,20,18,63,-45,16,2025-03-25 21:01:09
