EQUIPO,J,G,E,P,GF,GC,DIF,PTS,CREATED_AT
1PSGParis Saint-Germain,26,21,5,0,73,25,48,68,2025-03-25 21:01:09
2OLMMarseille,26,15,4,7,53,33,20,49,2025-03-25 21:01:09
3MONAS Mónaco,26,14,5,7,51,32,19,47,2025-03-25 21:01:09
4NICENice,26,13,8,5,50,31,19,47,2025-03-25 21:01:09
5LYONLyon,26,13,6,7,50,33,17,45,2025-03-25 21:01:09
6LILLLille,26,12,8,6,40,28,12,44,2025-03-25 21:01:09
7STRStrasbourg,26,12,7,7,41,33,8,43,2025-03-25 21:01:09
8LNSLens,26,11,6,9,31,29,2,39,2025-03-25 21:01:09
9BRSBrest,26,11,4,11,38,40,-2,37,2025-03-25 21:01:09
10TOUToulouse,26,9,7,10,33,29,4,34,2025-03-25 21:01:09
11AUXAJ Auxerre,26,8,8,10,37,39,-2,32,2025-03-25 21:01:09
12RENStade Rennais,26,9,2,15,35,37,-2,29,2025-03-25 21:01:09
13NANNantes,26,6,9,11,29,43,-14,27,2025-03-25 21:01:09
14ANGAngers,26,7,6,13,26,42,-16,27,2025-03-25 21:01:09
15REIMStade de Reims,26,5,8,13,26,40,-14,23,2025-03-25 21:01:09
16ASSESaint-Etienne,26,6,5,15,27,57,-30,23,2025-03-25 21:01:09
17Le Havre ACLe Havre AC,26,6,3,17,26,55,-29,21,2025-03-25 21:01:09
18MONMontpellier,26,4,3,19,21,61,-40,15,2025-03-25 21:01:09
