EQUIPO,J,G,E,P,GF,GC,DIF,PTS,CREATED_AT
1AJAXAjax Amsterdam,26,20,4,2,55,20,35,64,2025-03-25 21:01:09
2PSVPSV Eindhoven,26,18,4,4,78,30,48,58,2025-03-25 21:01:09
3UTRFC Utrecht,26,14,7,5,46,39,7,49,2025-03-25 21:01:09
4FEYFeyenoord Rotterdam,25,13,8,4,54,29,25,47,2025-03-25 21:01:09
5TWEFC Twente,26,13,7,6,52,37,15,46,2025-03-25 21:01:09
6AZAZ Alkmaar,25,13,5,7,42,26,16,44,2025-03-25 21:01:09
7Go AheadGo Ahead Eagles,26,13,5,8,47,40,7,44,2025-03-25 21:01:09
8FortunaFortuna Sittard,26,9,5,12,32,43,-11,32,2025-03-25 21:01:09
9GROFC Groningen,25,8,7,10,24,33,-9,31,2025-03-25 21:01:09
10HEEHeerenveen,26,8,7,11,32,46,-14,31,2025-03-25 21:01:09
11NECNEC Nijmegen,26,8,5,13,37,37,0,29,2025-03-25 21:01:09
12BRDNAC Breda,26,8,5,13,28,44,-16,29,2025-03-25 21:01:09
13HERHeracles Almelo,26,6,10,10,33,47,-14,28,2025-03-25 21:01:09
14PECPEC Zwolle,26,6,8,12,30,41,-11,26,2025-03-25 21:01:09
15Sp RotterdamSparta Rotterdam,26,5,10,11,25,35,-10,25,2025-03-25 21:01:09
16WILWillem II,26,6,6,14,28,42,-14,24,2025-03-25 21:01:09
17WLWRKC Waalwijk,25,4,5,16,32,52,-20,17,2025-03-25 21:01:09
18Almere CityAlmere City,26,3,6,17,16,50,-34,15,2025-03-25 21:01:09
