EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT,LIGA
Bayern Munich,27,20,5,2,78,26,52,65,1,2025-04-03 19:36:15,ALEMANIA
Bayer Leverkusen,27,17,8,2,62,34,28,59,2,2025-04-03 19:36:15,ALEMANIA
Eintracht Frankfurt,27,14,6,7,55,40,15,48,3,2025-04-03 19:36:15,ALEMANIA
Mainz,27,13,6,8,45,31,14,45,4,2025-04-03 19:36:15,ALEMANIA
Borussia Monchengladbach,27,13,4,10,44,40,4,43,5,2025-04-03 19:36:15,ALEMANIA
RB Leipzig,27,11,9,7,41,34,7,42,6,2025-04-03 19:36:15,ALEMANIA
SC Freiburg,27,12,6,9,37,40,-3,42,7,2025-04-03 19:36:15,ALEMANIA
F. C. Augsburgo,27,10,9,8,30,36,-6,39,8,2025-04-03 19:36:15,ALEMANIA
Borussia Dortmund,27,11,5,11,48,42,6,38,9,2025-04-03 19:36:15,ALEMANIA
VfL Wolfsburg,27,10,8,9,49,41,8,38,10,2025-04-03 19:36:15,ALEMANIA
VfB Stuttgart,27,10,7,10,47,44,3,37,11,2025-04-03 19:36:15,ALEMANIA
Werder Bremen,27,10,6,11,43,53,-10,36,12,2025-04-03 19:36:15,ALEMANIA
1. FC Union Berlin,27,8,6,13,25,40,-15,30,13,2025-04-03 19:36:15,ALEMANIA
TSG Hoffenheim,27,6,9,12,33,49,-16,27,14,2025-04-03 19:36:15,ALEMANIA
St Pauli,27,7,4,16,22,33,-11,25,15,2025-04-03 19:36:15,ALEMANIA
1. FC Heidenheim 1846,27,6,4,17,32,52,-20,22,16,2025-04-03 19:36:15,ALEMANIA
VfL Bochum,27,5,5,17,28,55,-27,20,17,2025-04-03 19:36:15,ALEMANIA
Holstein Kiel,27,4,5,18,38,67,-29,17,18,2025-04-03 19:36:15,ALEMANIA
Barcelona,29,21,3,5,82,28,54,66,1,2025-04-03 19:36:15,ESPAÑA
Real Madrid,29,19,6,4,62,29,33,63,2,2025-04-03 19:36:15,ESPAÑA
Atlético Madrid,29,16,9,4,47,23,24,57,3,2025-04-03 19:36:15,ESPAÑA
Athletic Club,29,14,11,4,46,24,22,53,4,2025-04-03 19:36:15,ESPAÑA
Villarreal,28,13,8,7,51,39,12,47,5,2025-04-03 19:36:15,ESPAÑA
Real Betis,29,13,8,8,40,36,4,47,6,2025-04-03 19:36:15,ESPAÑA
Rayo Vallecano,29,10,10,9,33,31,2,40,7,2025-04-03 19:36:15,ESPAÑA
Celta Vigo,29,11,7,11,42,42,0,40,8,2025-04-03 19:36:15,ESPAÑA
Mallorca,29,11,7,11,28,35,-7,40,9,2025-04-03 19:36:15,ESPAÑA
Real Sociedad,29,11,5,13,27,31,-4,38,10,2025-04-03 19:36:15,ESPAÑA
Getafe,29,9,9,11,26,25,1,36,11,2025-04-03 19:36:15,ESPAÑA
Sevilla FC,29,9,9,11,33,39,-6,36,12,2025-04-03 19:36:15,ESPAÑA
Girona,29,9,7,13,37,45,-8,34,13,2025-04-03 19:36:15,ESPAÑA
Osasuna,29,7,13,9,33,42,-9,34,14,2025-04-03 19:36:15,ESPAÑA
Valencia,29,7,10,12,32,46,-14,31,15,2025-04-03 19:36:15,ESPAÑA
Espanyol,28,7,8,13,27,40,-13,29,16,2025-04-03 19:36:15,ESPAÑA
Alavés,29,6,9,14,32,44,-12,27,17,2025-04-03 19:36:15,ESPAÑA
Leganés,29,6,9,14,28,46,-18,27,18,2025-04-03 19:36:15,ESPAÑA
Las Palmas,29,6,8,15,33,48,-15,26,19,2025-04-03 19:36:15,ESPAÑA
Real Valladolid,29,4,4,21,19,65,-46,16,20,2025-04-03 19:36:15,ESPAÑA
Paris Saint-Germain,27,22,5,0,79,26,53,71,1,2025-04-03 19:36:15,FRANCIA
AS Mónaco,27,15,5,7,53,33,20,50,2,2025-04-03 19:36:15,FRANCIA
Marseille,27,15,4,8,54,36,18,49,3,2025-04-03 19:36:15,FRANCIA
ENice,27,13,8,6,51,33,18,47,4,2025-04-03 19:36:15,FRANCIA
LLille,27,13,8,6,41,28,13,47,5,2025-04-03 19:36:15,FRANCIA
Strasbourg,27,13,7,7,45,35,10,46,6,2025-04-03 19:36:15,FRANCIA
NLyon,27,13,6,8,52,37,15,45,7,2025-04-03 19:36:15,FRANCIA
Brest,27,12,4,11,42,42,0,40,8,2025-04-03 19:36:15,FRANCIA
Lens,27,11,6,10,31,30,1,39,9,2025-04-03 19:36:15,FRANCIA
AJ Auxerre,27,9,8,10,38,39,-1,35,10,2025-04-03 19:36:15,FRANCIA
Toulouse,27,9,7,11,35,33,2,34,11,2025-04-03 19:36:15,FRANCIA
Stade Rennais,27,10,2,15,38,37,1,32,12,2025-04-03 19:36:15,FRANCIA
Nantes,27,6,9,12,31,46,-15,27,13,2025-04-03 19:36:15,FRANCIA
Angers,27,7,6,14,26,45,-19,27,14,2025-04-03 19:36:15,FRANCIA
Stade de Reims,27,6,8,13,29,41,-12,26,15,2025-04-03 19:36:15,FRANCIA
Le Havre AC,27,7,3,17,29,57,-28,24,16,2025-04-03 19:36:15,FRANCIA
Saint-Etienne,27,6,5,16,28,63,-35,23,17,2025-04-03 19:36:15,FRANCIA
Montpellier,27,4,3,20,21,62,-41,15,18,2025-04-03 19:36:15,FRANCIA
Ajax Amsterdam,27,21,4,2,57,20,37,67,1,2025-04-03 19:36:15,HOLANDA
PSV Eindhoven,27,18,4,5,78,32,46,58,2,2025-04-03 19:36:15,HOLANDA
Feyenoord Rotterdam,27,15,8,4,61,32,29,53,3,2025-04-03 19:36:15,HOLANDA
FC Utrecht,27,15,7,5,48,39,9,52,4,2025-04-03 19:36:15,HOLANDA
AZ Alkmaar,27,13,7,7,47,31,16,46,5,2025-04-03 19:36:15,HOLANDA
FC Twente,27,13,7,7,53,39,14,46,6,2025-04-03 19:36:15,HOLANDA
Go Ahead Eagles,27,13,5,9,49,43,6,44,7,2025-04-03 19:36:15,HOLANDA
FC Groningen,27,8,8,11,26,38,-12,32,8,2025-04-03 19:36:15,HOLANDA
Fortuna Sittard,27,9,5,13,32,46,-14,32,9,2025-04-03 19:36:15,HOLANDA
Heerenveen,27,8,7,12,32,48,-16,31,10,2025-04-03 19:36:15,HOLANDA
Heracles Almelo,27,7,10,10,35,48,-13,31,11,2025-04-03 19:36:15,HOLANDA
NEC Nijmegen,27,8,6,13,40,40,0,30,12,2025-04-03 19:36:15,HOLANDA
NAC Breda,27,8,6,13,29,45,-16,30,13,2025-04-03 19:36:15,HOLANDA
PEC Zwolle,27,7,8,12,32,41,-9,29,14,2025-04-03 19:36:15,HOLANDA
Sparta Rotterdam,27,6,10,11,28,35,-7,28,15,2025-04-03 19:36:15,HOLANDA
Willem II,27,6,6,15,28,44,-16,24,16,2025-04-03 19:36:15,HOLANDA
RKC Waalwijk,27,4,6,17,34,56,-22,18,17,2025-04-03 19:36:15,HOLANDA
Almere City,27,4,6,17,18,50,-32,18,18,2025-04-03 19:36:15,HOLANDA
Liverpool,30,22,7,1,70,27,43,73,1,2025-04-03 19:36:15,INGLATERRA
Arsenal,30,17,10,3,55,25,30,61,2,2025-04-03 19:36:15,INGLATERRA
Nottingham Forest,30,17,6,7,50,35,15,57,3,2025-04-03 19:36:15,INGLATERRA
Chelsea,30,15,7,8,54,37,17,52,4,2025-04-03 19:36:15,INGLATERRA
Manchester City,30,15,6,9,57,40,17,51,5,2025-04-03 19:36:15,INGLATERRA
Newcastle United,29,15,5,9,49,39,10,50,6,2025-04-03 19:36:15,INGLATERRA
Aston Villa,30,13,9,8,44,45,-1,48,7,2025-04-03 19:36:15,INGLATERRA
Brighton & Hove Albion,30,12,11,7,48,45,3,47,8,2025-04-03 19:36:15,INGLATERRA
Fulham,30,12,9,9,44,40,4,45,9,2025-04-03 19:36:15,INGLATERRA
AFC Bournemouth,30,12,8,10,49,38,11,44,10,2025-04-03 19:36:15,INGLATERRA
Brentford,30,12,5,13,51,47,4,41,11,2025-04-03 19:36:15,INGLATERRA
Crystal Palace,29,10,10,9,37,34,3,40,12,2025-04-03 19:36:15,INGLATERRA
Manchester United,30,10,7,13,37,41,-4,37,13,2025-04-03 19:36:15,INGLATERRA
Tottenham Hotspur,30,10,4,16,55,44,11,34,14,2025-04-03 19:36:15,INGLATERRA
Everton,30,7,13,10,32,37,-5,34,15,2025-04-03 19:36:15,INGLATERRA
West Ham United,30,9,7,14,33,50,-17,34,16,2025-04-03 19:36:15,INGLATERRA
Wolverhampton Wanderers,30,8,5,17,41,58,-17,29,17,2025-04-03 19:36:15,INGLATERRA
Ipswich Town,30,4,8,18,30,63,-33,20,18,2025-04-03 19:36:15,INGLATERRA
Leicester City,30,4,5,21,25,67,-42,17,19,2025-04-03 19:36:15,INGLATERRA
Southampton,30,2,4,24,22,71,-49,10,20,2025-04-03 19:36:15,INGLATERRA
Internazionale,30,20,7,3,67,28,39,67,1,2025-04-03 19:36:15,ITALIA
Napoli,30,19,7,4,47,24,23,64,2,2025-04-03 19:36:15,ITALIA
Atalanta,30,17,7,6,63,29,34,58,3,2025-04-03 19:36:15,ITALIA
Bolonia,30,15,11,4,50,34,16,56,4,2025-04-03 19:36:15,ITALIA
Juventus,30,14,13,3,46,28,18,55,5,2025-04-03 19:36:15,ITALIA
AS Roma,30,15,7,8,45,30,15,52,6,2025-04-03 19:36:15,ITALIA
Lazio,30,15,7,8,51,42,9,52,7,2025-04-03 19:36:15,ITALIA
Fiorentina,30,15,6,9,47,30,17,51,8,2025-04-03 19:36:15,ITALIA
AC Milan,30,13,8,9,45,35,10,47,9,2025-04-03 19:36:15,ITALIA
Udinese,30,11,7,12,36,41,-5,40,10,2025-04-03 19:36:15,ITALIA
Torino,30,9,12,9,35,35,0,39,11,2025-04-03 19:36:15,ITALIA
Génova,30,8,11,11,28,38,-10,35,12,2025-04-03 19:36:15,ITALIA
Como,30,7,9,14,36,47,-11,30,13,2025-04-03 19:36:15,ITALIA
Hellas Verona,30,9,3,18,29,58,-29,30,14,2025-04-03 19:36:15,ITALIA
Cagliari,30,7,8,15,31,44,-13,29,15,2025-04-03 19:36:15,ITALIA
Parma,30,5,11,14,35,49,-14,26,16,2025-04-03 19:36:15,ITALIA
Lecce,30,6,7,17,21,49,-28,25,17,2025-04-03 19:36:15,ITALIA
Empoli,30,4,11,15,24,47,-23,23,18,2025-04-03 19:36:15,ITALIA
Venezia,30,3,11,16,23,43,-20,20,19,2025-04-03 19:36:15,ITALIA
Monza,30,2,9,19,24,52,-28,15,20,2025-04-03 19:36:15,ITALIA
Sporting CP,27,20,5,2,73,23,50,65,1,2025-04-03 19:36:15,PORTUGAL
Benfica,27,21,2,4,65,22,43,65,2,2025-04-03 19:36:15,PORTUGAL
FC Porto,27,17,5,5,53,21,32,56,3,2025-04-03 19:36:15,PORTUGAL
Braga,27,17,5,5,44,23,21,56,4,2025-04-03 19:36:15,PORTUGAL
Santa Clara,27,14,4,9,28,25,3,46,5,2025-04-03 19:36:15,PORTUGAL
Guimaraes,27,10,12,5,38,29,9,42,6,2025-04-03 19:36:15,PORTUGAL
Casa Pia,27,11,6,10,34,36,-2,39,7,2025-04-03 19:36:15,PORTUGAL
FC Famalicao,27,9,10,8,33,30,3,37,8,2025-04-03 19:36:15,PORTUGAL
Estoril,27,9,9,9,35,43,-8,36,9,2025-04-03 19:36:15,PORTUGAL
Moreirense,27,8,8,11,33,39,-6,32,10,2025-04-03 19:36:15,PORTUGAL
Rio Ave,27,7,8,12,30,45,-15,29,11,2025-04-03 19:36:15,PORTUGAL
Arouca,27,7,8,12,26,41,-15,29,12,2025-04-03 19:36:15,PORTUGAL
C.D. Nacional,27,8,5,14,26,37,-11,29,13,2025-04-03 19:36:15,PORTUGAL
Gil Vicente,27,6,8,13,27,41,-14,26,14,2025-04-03 19:36:15,PORTUGAL
