EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT,LIGA
Paris Saint-Germain,27,22,5,0,79,26,53,71,1,2025-04-03 19:35:29,FRANCIA
AS Mónaco,27,15,5,7,53,33,20,50,2,2025-04-03 19:35:29,FRANCIA
Marseille,27,15,4,8,54,36,18,49,3,2025-04-03 19:35:29,FRANCIA
ENice,27,13,8,6,51,33,18,47,4,2025-04-03 19:35:29,FRANCIA
LLille,27,13,8,6,41,28,13,47,5,2025-04-03 19:35:29,FRANCIA
Strasbourg,27,13,7,7,45,35,10,46,6,2025-04-03 19:35:29,FRANCIA
NLyon,27,13,6,8,52,37,15,45,7,2025-04-03 19:35:29,FRANCIA
Brest,27,12,4,11,42,42,0,40,8,2025-04-03 19:35:29,FRANCIA
Lens,27,11,6,10,31,30,1,39,9,2025-04-03 19:35:29,FRANCIA
AJ Auxerre,27,9,8,10,38,39,-1,35,10,2025-04-03 19:35:29,FRANCIA
Toulouse,27,9,7,11,35,33,2,34,11,2025-04-03 19:35:29,FRANCIA
Stade Rennais,27,10,2,15,38,37,1,32,12,2025-04-03 19:35:29,FRANCIA
Nantes,27,6,9,12,31,46,-15,27,13,2025-04-03 19:35:29,FRANCIA
Angers,27,7,6,14,26,45,-19,27,14,2025-04-03 19:35:29,FRANCIA
Stade de Reims,27,6,8,13,29,41,-12,26,15,2025-04-03 19:35:29,FRANCIA
Le Havre AC,27,7,3,17,29,57,-28,24,16,2025-04-03 19:35:29,FRANCIA
Saint-Etienne,27,6,5,16,28,63,-35,23,17,2025-04-03 19:35:29,FRANCIA
Montpellier,27,4,3,20,21,62,-41,15,18,2025-04-03 19:35:29,FRANCIA
