EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT,LIGA
Internazionale,30,20,7,3,67,28,39,67,1,2025-04-03 19:35:29,ITALIA
Napoli,30,19,7,4,47,24,23,64,2,2025-04-03 19:35:29,ITALIA
Atalanta,30,17,7,6,63,29,34,58,3,2025-04-03 19:35:29,ITALIA
Bolonia,30,15,11,4,50,34,16,56,4,2025-04-03 19:35:29,ITALIA
Juventus,30,14,13,3,46,28,18,55,5,2025-04-03 19:35:29,ITALIA
AS Roma,30,15,7,8,45,30,15,52,6,2025-04-03 19:35:29,ITALIA
Lazio,30,15,7,8,51,42,9,52,7,2025-04-03 19:35:29,ITALIA
Fiorentina,30,15,6,9,47,30,17,51,8,2025-04-03 19:35:29,ITALIA
AC Milan,30,13,8,9,45,35,10,47,9,2025-04-03 19:35:29,ITALIA
Udinese,30,11,7,12,36,41,-5,40,10,2025-04-03 19:35:29,ITALIA
Torino,30,9,12,9,35,35,0,39,11,2025-04-03 19:35:29,ITALIA
Génova,30,8,11,11,28,38,-10,35,12,2025-04-03 19:35:29,ITALIA
Como,30,7,9,14,36,47,-11,30,13,2025-04-03 19:35:29,ITALIA
Hellas Verona,30,9,3,18,29,58,-29,30,14,2025-04-03 19:35:29,ITALIA
Cagliari,30,7,8,15,31,44,-13,29,15,2025-04-03 19:35:29,ITALIA
Parma,30,5,11,14,35,49,-14,26,16,2025-04-03 19:35:29,ITALIA
Lecce,30,6,7,17,21,49,-28,25,17,2025-04-03 19:35:29,ITALIA
Empoli,30,4,11,15,24,47,-23,23,18,2025-04-03 19:35:29,ITALIA
Venezia,30,3,11,16,23,43,-20,20,19,2025-04-03 19:35:29,ITALIA
Monza,30,2,9,19,24,52,-28,15,20,2025-04-03 19:35:29,ITALIA
